Title,Views,Upload_Date,Likes,Comments,Description
Why Nepal is so CORRUPT ?,151521,2024-12-22,4885,356,"Dive deep into the hidden mechanisms behind corruption in Nepal, exploring how systemic flaws, psychological factors, and societal norms perpetuate unethical practices. In this video, we break down the key concepts of corruption through the lens of:

Psychology of Corruption – Discover how individual beliefs, motivations, and moral justifications drive corrupt behavior and create a cycle that is tough to break.

Principal-Agent Theory – Understand the misalignment of incentives between those in power (agents) and the citizens they represent (principals). We’ll show how this gap fosters a culture where personal gain overshadows public service.

Collective Action Problem – Learn why collective efforts to fight corruption often fail, and how lack of trust, coordination, and mutual accountability keep honest citizens on the sidelines.

Role of Society – See how cultural values, social expectations, and daily interactions contribute to normalized corruption, making it more complex to eradicate.

By unraveling these interconnected factors, we aim to spark critical thinking and open up a conversation on the necessary reforms and mindset shifts. Join us to examine what keeps corruption alive—and what it will take to truly break the cycle in Nepal.

Sources: https://docs.google.com/document/d/19aP8Y6C4xw6MzrzQW0A533-8AkaUNmnfOA_yG_X61KE/edit?usp=sharing

Esewa Care Insurance: https://blog.esewa.com.np/esewa-care/

Edited by: 
Gajun (https://www.instagram.com/jun_zzz_/)
Ankit Gautam (https://www.instagram.com/ankitgautam.12/)
Arpit Thapa Magar (https://www.instagram.com/arpit_akkun/)

Thumbnail by: Biphson Nepali (https://www.instagram.com/biphson_nepali/)

Timestamp:
0:00 Intro
0:31 Sekuwa Kanda
1:30 Corruption
3:00 Principal- Agent Theory
4:45 Esewa Care Insurance
5:38 Corruption becomes the Norm
6:50 Saathi Kanda
8:36 Dudh Pokhari Kanda
9:40 Collective Action Problem
11:59 Georgia (not) Kanda
13:22 Reforms of Georgia
15:20 Hamro Kanda"
"Hari Bahadur, Memes and Hypocrisy of Nepali Society",137137,2024-12-14,4237,273,"MaHa Jodi gave us Hari Bahadur, a character who still makes us laugh and keeps popping up in memes even today. But have you ever wondered why he never evolves? 

Most characters in stories go through change—they grow, learn, or transform. But not Hari Bahadur. He’s always the same thag badmas, creating chaos wherever he goes.

And what makes him so funny even after all these years? Let’s dive in and figure it out together.


12.12 ULTIMA GRAND SALE IS LIVE!
Flat 12% + Extra 6% OFF on all Ultima Products, only on Daraz!
🎯 Ultima Watch Flex: First 500 units @ ₹2599
📅 Sale: 12-18 Dec.
Shop Now!

Let's connect :

If you are on Facebook: [https://www.facebook.com/dipesh.tripathi.35.]
If you are on Twitter: [https://twitter.com/NepaliComment]
If you are on Instagram: [https://www.instagram.com/dipesh.trip/]

Edited by: 
Arjun Tiruwa (https://www.instagram.com/dare4yt/)
Arpit Thapa Magar (https://www.instagram.com/arpit_akkun/)
Gajun (https://www.instagram.com/jun_zzz_/)

Thumbnail by: Biphson Nepali (https://www.instagram.com/biphson_nepali/)

TImestamp:

0:00 Meme world
0:34 Ma Hari Bahadur
1:42 Sitcom-Situational Comedy
3:22 Scam 1992 - Arc 
3:53 Saas bhi kabhi Bahu thi
4:13 Set Traits 
5:20 Friends
5:36 Meri Bassai - 900 episodes
6:03 Ultima - Daraz 12.12
7:05 Format of Hari Bahadur
7:44 Dhunge Bagara 
9:06 Greedy Hari Bahadur
10:07 Hypocrite Hari Bahadur
10:43 Envious Hari Bahadur
11:36 Change in Hari Bahadur?
12:10 Love Life - Hari Bahadur
12:52 Never Changing Hari Bahadur
13:50 Buddhi Ghaite Hari Bahadur
15:06 Lesser Known Childhood
16:30 What Hari Bahadur really wants?
17:31 Ending of Hari Bahadur"
The Truth Behind Nepal's BRI Projects,234331,2024-12-06,6296,667,"In this video, we talk about the Belt and Road Initiative, how the popular narrative is that Sri Lanka was debt-trapped by China, and how it’s repeating in Nepal. But the larger mass is missing something fundamentally important. That’s what we talk about in this video.

Sources:
https://docs.google.com/document/d/12roE1ZH6pLhKaL7j9olqoSNNASAc4i3ghNzLQ8ZOZb0/edit?usp=sharing

Birat Cancer Institute's cancer helpline is available 24x7:
+977 9851153692 (Call or WhatsApp) for free consultation with experts 
Free flight for cancer patients
As part of its commitment to supporting patients, Birat Cancer Institute has partnered with Yeti Airlines to launch the Wings of Hope campaign. This initiative provides free two-way flights, including connecting flights, for cancer patients from any part of Nepal to Birat Cancer Institute.
So call now for a consultation with a doctor.

Let's connect :

If you are on Facebook: [https://www.facebook.com/dipesh.tripathi.35.]
If you are on Twitter: [https://twitter.com/NepaliComment]
If you are on Instagram: [https://www.instagram.com/dipesh.trip/]


Edited by: 
Arpit Thapa Magar (https://www.instagram.com/arpit_akkun/)
Gajun (https://www.instagram.com/jun_zzz_/)

Thumbnail by: Biphson Nepali (https://www.instagram.com/biphson_nepali/)

Timestamp:
0:00 Intro
1:51 The Origin of BRI
4:12 Birat Cancer Institute
5:12 The Rise of BRI
6:28 Nepal in BRI and its dilema
12:50 Reality of Sri Lanka's Hambantota Port
19:35 Outro"
Kathmandu will soon BURN (and why no one cares ),160476,2024-11-28,5152,165,"Kathmandu Valley is growing, but are we prepared for one of the most destructive disasters—fire? 🚒🔥 In this video, we uncover the alarming lack of preparedness to tackle fire incidents in homes and commercial spaces across the valley.

We visited the Lalitpur Fire Brigade for exclusive access to their operations and talked to firefighters about the daily challenges they face with limited resources. As fire incidents rise, it's clear there’s an urgent need for action to improve infrastructure, training, and public awareness.

Sources: 
https://docs.google.com/document/d/1lwvpcAHktqs4hCg8iXIqLOKQ1la1-Yvj55t83OJ7xRk/edit?usp=sharing

Worldlink Festive कारNIVAL Offer:
https://worldlink.com.np/worldlink-dashain-offer-festive-carnival/

Let's connect :

If you are on Facebook: [https://www.facebook.com/dipesh.tripathi.35.]
If you are on Twitter: [https://twitter.com/NepaliComment]
If you are on Instagram: [https://www.instagram.com/dipesh.trip/]


Edited by:
Arpit Thapa Magar (https://www.instagram.com/arpit_akkun/)
Gajun (https://www.instagram.com/jun_zzz_/)

Thumbnail by: Biphson Nepali (https://www.instagram.com/biphson_nepali/)

Timestamp:
0:00 Intro
03:55 Worldlink Festive Offer
05:03 Fire and Humanity
05:35 Heat Triangle
06:20 LPG Cylinder
08:00 History of Fire Stations in Nepal
09:07 What's Inside a Fire Truck
11:11 Fire Brigade 
12:35 Fire Fighter Preparedness
13:47 Lack of Preparation
14:14 High Rise Buildings
15:30 More Fire
16:11 Crucial Response Time
17:50 Number of Fire Station?
19:00 What NEXT?"
Puskar Shah: The Nepali Cyclist who travelled the world in cycle #thenepalicomment,46152,2024-11-27,2708,12,
"Unlike 5 years ago, why is Ashika Tamang choosing such an aggressive method of confrontation now?",37238,2024-11-26,1509,13,
How real estate mafia work in Nepal #thenepalicomment,115240,2024-11-26,6427,56,
"Thousands die in road accident every year in Nepal, still no proper action is taken#thenepalicomment",9384,2024-11-26,635,10,
Why are we rooting for Ashika Tamang? #thenepalicomment,5749,2024-11-13,387,7,
Are Ashika Tamang's bold but controversial methods the way to solve these problem? #thenepalicomment,12947,2024-11-13,787,25,
Hidden Poison in Nepali Homes | The Nepali Comment,310685,2024-11-08,10457,879,"Lead poisoning has become a critical, yet overlooked issue in Nepal. Despite government guidelines limiting lead content in products like paint, many manufacturers are neglecting these regulations, using dangerously high levels of lead. This puts millions of Nepali people—especially children—at serious risk. Lead exposure can cause devastating health effects, including developmental issues in children, kidney damage, and even death.

In this video, we dive into the alarming rise of lead poisoning in Nepal, the industries responsible, and the shocking reality of how widespread this problem could soon become. With so few people aware of the dangers, it’s more important than ever to shed light on this issue and push for stronger enforcement of regulations. Join us as we explore how this hidden threat is putting the entire country at risk and what we can do to help protect our communities.

Help spread awareness by sharing this video and subscribing for more content on critical health and environmental issues. Together, we can make a difference.
Source: https://docs.google.com/document/d/1nqhAo1pGhDDXn1LG7Mp2-Np4cy7eFOs5NXk3hrtWpJs/edit?usp=sharinged

Special thanks to Aavash Subedi for the insightful information on lead contamination. 
(https://www.linkedin.com/in/aavashsubedi/)

Ultima Offer: https://bit.ly/3Csvf2w

Let's connect :

If you are on Facebook: [https://www.facebook.com/dipesh.tripathi.35.]
If you are on Twitter: [https://twitter.com/NepaliComment]
If you are on Instagram: [https://www.instagram.com/dipesh.trip/]


Edited by: 
Arpit Thapa Magar (https://www.instagram.com/arpit_akkun/)
Gajun (https://www.instagram.com/jun_zzz_/)

Thumbnail by: Biphson Nepali (https://www.instagram.com/biphson_nepali/)

Timestamp:
0:00 Intro
01:08 Quiz
01:50 Extreme Lead Contamination
03:38 What is Lead?
04:42 Ultima Offer
05:54 Why Lead is so dangerous?
07:25 Risky Blood Lead Level
08:38 Why Children are at bigger risk
09:15 The Risky Paints
13:01 Other Risky Products
15:25 Why is it happening?
16:52 Regulations in Nepal
17:30 Schools at Risks
18:45 What to do next?"
Why Russia used it's VETO power to stop Nepal's application to UN #thenepalicomment #nepalrussia,71374,2024-10-29,2182,56,
Ashika Tamang Exposed,524979,2024-10-24,16764,1468,"Ashika Tamang has become a social media sensation for her fierce fight against illegal practices in Nepal. Her short temper and aggressive approach have sparked widespread debate, with some praising her boldness while others criticize her for making everything sensational just for virality. In this video, we explore Ashika's motivations and whether her controversial methods—despite being rooted in good intentions—might actually undermine the cause she’s fighting for. Does her style promote real change, or is it setting a dangerous precedent? Let’s dive into the discussion.

#AshikaTamang #Nepal #ViralControversy #IllegalPractices #socialmedia 

Birat Medical College Teaching Hospital in Biratnagar is urgently hiring 1000 nurses to support patient care.

If you are a nurse or know someone qualified, send your CV to hr@bmcteachinghospital 
or contact : 9869180562
📧 Apply now: hr@bmcteachinghospital
Call : 9869180562

Let's connect :

If you are on Facebook: [https://www.facebook.com/dipesh.tripathi.35.]
If you are on Twitter: [https://twitter.com/NepaliComment]
If you are on Instagram: [https://www.instagram.com/dipesh.trip/]


Edited by: 
Arpit Thapa Magar (https://www.instagram.com/arpit_akkun/)
Gajun (https://www.instagram.com/jun_zzz_/)

Thumbnail by: Biphson Nepali (https://www.instagram.com/biphson_nepali/)

Timestamp:
0:00 Intro
1:30 Ashika Tamang's Past
4:56 Vacancy
5:27 Right or Wrong?
8:44 Why are people supporting her
9:40 mistakes
10:45 Real Change
13:30 Real Issues
14:44 Sensationalism
15:10 Tea Paradox
16:44 Us vs Them
17:40 Right Approach
19:10 Real Solution"
The Science Behind why we FALL in LOVE #thenepalicomment,7345,2024-10-24,426,10,
Nepal's Greatest Successful Project,278173,2024-10-19,7961,296,"UPDATE: We normally credit the actual owner of the video footage used in the video as it takes massive resources and hard work to shoot those. We made a big mistake by not crediting and we should not be making such errors. We will link all the footages that have been used in the video that belong to other creators.

Herne Katha:
सम्बन्ध सेतु १:https://youtu.be/Aj_hnge3vBA?si=IrdiAcMwpJnBQK9h
सम्बन्ध सेतु २:https://youtu.be/-dkOZDZF7jQ?si=8QZ3U-UFwoqiMHEJ
सम्बन्ध सेतु ३: https://youtu.be/ve3N7fLF75Y?si=IRcy9GnpXG8kwNuw

Nepal economic crisis: ‘व्यापार नै छैन…’- बीबीसी न्यूज नेपाली: https://www.youtube.com/watch?v=qePgZhRilyA
Beijing increases its influence in Nepal • FRANCE 24 English: https://www.youtube.com/watch?v=LsjxV6Lr2H4
I Visited Mount Everest Base Camp- Luke Korns: https://youtu.be/fHh29py_Uoc?si=V_X86_ZfxqKWCcym
Nepal's Maternal Mortality Crisis- Al jazeera English: https://youtu.be/1pZhsu5TZ-o?si=OHRv0hmStsd6CwgX 

Delve into the fascinating story of Nepal’s trail bridge network, which began as a simple yet transformative innovation. This remarkable system of bridges has not only connected remote villages, once cut off from the broader world, but has also ignited a socio-economic revolution. By linking isolated communities, it has unlocked a wealth of unprecedented opportunities, enabling access to markets, education, and healthcare. Despite the immense challenges and uncertainty that accompanied its development, the trail bridge network has proven to be a lifeline, fostering resilience and hope among the people it serves.

Source: https://docs.google.com/document/d/19d9DwmKkR8lB3f76GXGh1yXgCuz-qBnKOGKjqjjHVGI/edit?usp=sharing


Birat Medical College Teaching Hospital in Biratnagar is urgently hiring 1000 nurses to support patient care.

If you are a nurse or know someone qualified, send your CV to hr@bmcteachinghospital 
or contact : 9869180562
📧 Apply now: hr@bmcteachinghospital
Call : 9869180562

TNC Debate on @TNCUnscripted :
https://docs.google.com/forms/d/e/1FAIpQLScI0BWggt0z7evPmRNuzHTVPaM1h99GfBm3UZsG4ZtjD-ZT9A/viewform?usp=send_form

Let's connect :

If you are on Facebook: [https://www.facebook.com/dipesh.tripathi.35.]
If you are on Twitter: [https://twitter.com/NepaliComment]
If you are on Instagram: [https://www.instagram.com/dipesh.trip/]

Edited by: 
Arpit Thapa Magar (https://www.instagram.com/arpit_akkun/)
Gajun (https://www.instagram.com/jun_zzz_/)

Thumbnail by: Biphson Nepali (https://www.instagram.com/biphson_nepali/)

Timestamp:

0:00 Travel to the past 
2:37 Nepal: Country Of Trail Bridges
3:42 Conquering Rivers
5:34 Vacancy Announcement
6:20 Trail Bridges in Rana’s Time
7:38 Toni Hagen & HELVETAS
9:48 Challenges to Progress
11:13 Bridge Building At Local Level
13:20 Trail Bridge Strategy
14:28 Trail Bridge Types
16:42 Rapid Local Success
18:57 Handbook, Manual and Training
21:35 Impact of Trail Bridges
24:52 Mindset for Action
27:00 Special Announcement"
The first photo studio of Nepal #thenepalicomment #nepalihistory,64742,2024-10-18,3511,13,
Why Infertility is increasing in Nepali men #thenepalicomment,6966,2024-10-11,424,4,
When Prachanda created Fake Maoist at Cantonment,10481,2024-10-09,599,8,
Nepal's Biggest Plane Crash,126495,2024-10-06,3945,173,"In this video, we explore the devastating crash of Pakistan International Airlines (PIA) Flight 268, Nepal's worst aviation disaster. On September 28, 1992, the Airbus A300B4 tragically crashed into the hills surrounding Kathmandu while attempting to land at Tribhuvan International Airport. All 167 people on board, including passengers and crew, lost their lives.

We delve into the events leading up to the crash, examining the weather conditions, communication issues, and possible reasons behind this tragic accident. 

Festive कारNIVAL WorldLink Dashain Offer: https://worldlink.com.np/worldlink-dashain-offer-festive-carnival/

Let's connect :

If you are on Facebook: [https://www.facebook.com/dipesh.tripathi.35.]
If you are on Twitter: [https://twitter.com/NepaliComment]
If you are on Instagram: [https://www.instagram.com/dipesh.trip/]


Edited by: 
Gajun (https://www.instagram.com/jun_zzz_/)
Ankit Gautam (https://www.instagram.com/ankitgautam.12/)

Additional Edit:
Arpit Thapa Magar (https://www.instagram.com/arpit_akkun/)
Himal Joshi (https://www.instagram.com/drew.justinn_/)


Thumbnail by: Biphson Nepali (https://www.instagram.com/biphson_nepali/)"
Why Nepali stopped flying Kites in Sky,11822,2024-10-06,1029,16,
Why Laxmi Prasad Devkota was poor #thenepalicomment,293765,2024-10-04,15234,96,
How Chandra Shumsher became the Prime Minister of Nepal #thenepalicomment #historyofnepal,127829,2024-10-01,3554,28,
When Soviet Union Stopped Nepal from UN Membership,146118,2024-09-29,5049,338,"Uncover Nepal's secret war with the Soviet Union and the impact on its UN membership and geopolitics during the Cold War. Learn more in this video!

Source:
https://drive.google.com/drive/folders/1S0mhjHX51AmkFBl8YhcxIxXMsbpKbLr4?usp=sharing

Ultima Dashain Mela: https://ultima.com.np/

Let's connect:
If you are on Facebook: [https://www.facebook.com/dipesh.tripathi.35.]
If you are on Twitter: [https://twitter.com/NepaliComment]
If you are on Instagram: [https://www.instagram.com/dipesh.trip/]
Edited by: 
Gajun (https://www.instagram.com/jun_zzz_/)
Ankit Gautam (https://www.instagram.com/ankitgautam.12/)
Thumbnail by: Biphson Nepali (https://www.instagram.com/biphson_nepali/)"
The history of gorkhapatra #history #thenepalicomment #facts #gorkhapatra #nepalihistory,77380,2024-09-27,2939,22,
The Success Story of Goldstar Shoes #thenepalicomment #tncunscripted #goldstarshoes #madeinnepal,77533,2024-09-26,4073,41,
Why Nepali flag was changed 4 times #history #thenepalicomment #tncunscripted #nepaliflag,639970,2024-09-23,36391,234,
Rabi Lamichhane: Clean Chit or Guilty in Sahakari Case?,220754,2024-09-18,4695,398,"In this video, we dive deep into the controversy surrounding Rabi Lamichhane, leader of the Rastriya Swatantra Party (RSP) and former Managing Director of Galaxy 4K TV. Allegations have surfaced linking him to a major cooperative scam involving his business partner GB Rai, the owner of Galaxy 4K TV. With political power at play, this issue sparked a heated debate in Nepal’s parliament, leading opposition parties to demand a constitutional committee investigation. After a lengthy 3-month probe, the committee’s final report has only fueled further confusion and debate. Is Rabi Lamichhane guilty, or is he being unfairly targeted? Join us as we explore both sides of the story, break down the investigation's findings, and discuss what this could mean for Nepal’s political future.

#RabiLamichhane #CooperativeScam #NepalPolitics #RSP #GBRai #Galaxy4KTV #NepalParliament #PoliticalControversy #investigations 

Sources: https://docs.google.com/document/d/1oIv7KaOHqY0PNoU-3-UR1Y75mGVzWhgYKJa0PvQm99c/edit?usp=sharing

Let's connect :

If you are on Facebook: [https://www.facebook.com/dipesh.tripathi.35.]
If you are on Twitter: [https://twitter.com/NepaliComment]
If you are on Instagram: [https://www.instagram.com/dipesh.trip/]


Research by:
Parash Bikram Khadka (https://instagram.com/parashbikramk/)

Edited by: 
Arpit Thapa Magar (https://www.instagram.com/arpit_akkun/)
Gajun (https://www.instagram.com/jun_zzz_/)
Ankit Gautam (https://www.instagram.com/ankitgautam.12/)

Sub Editors:
Kushal Dahal: (https://www.instagram.com/_kushaldahal)
Sarfaraz: (https://www.instagram.com/hussain.sah.hib)

Thumbnail by: 
Biphson Nepali (https://www.instagram.com/biphson_nepali/)
Milan Chhetri ( Biphson Designs )"
